Comment,Designator,Footprint,LCSC
5.11k,R6,R_0402_1005Metric,
5.11k,R5,R_0402_1005Metric,
D_Schottky,D5,D_SOD-123,
USB_C_Receptacle_USB2.0,J10,USB-SMD_GT-USB-7010AN,
BMI270,U1,BMI270,
W25Q128JVSIQ,U3,SOIC-8_5.23x5.23mm_P1.27mm,
30pF,C2,C_0402_1005Metric,
100nF,C13,C_0402_1005Metric,
Conn_01x03,J4,Conn_01x03_2big_1small,
100nF,C18,C_0402_1005Metric,
Conn_01x03,J9,Conn_01x03_2big_1small,
330R,R8,R_0402_1005Metric,
330R,R9,R_0402_1005Metric,
100nF,C14,C_0402_1005Metric,
100nF,C12,C_0402_1005Metric,
100nF,C16,C_0402_1005Metric,
Conn_01x02,J7,Conn_01x02_small,
SW_SPST,SW1,SW-SMD_TS-1086EV-16,
1k,R1,R_0402_1005Metric,
LED,D3,LED_0603_no_outline,
1uF,C7,C_0402_1005Metric,
10k,R4,R_0402_1005Metric,
100nF,C9,C_0402_1005Metric,
Conn_01x03,J1,Conn_01x03_2big_1small,
27.4R,R3,R_0402_1005Metric,
Conn_01x04,J15,Conn_01x04_fpv,
1k,R12,R_0402_1005Metric,
10k,R13,R_0402_1005Metric,
CM4012M00020T8188087 ,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,
RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,
1uF,C15,C_0402_1005Metric,
Conn_01x04,J2,Conn_01x04_fpv,
Conn_01x03,J14,PinHeader_1x03_P1.27mm_Vertical_no_silk_smd,
10k,R10,R_0402_1005Metric,
Conn_01x04,J8,Conn_01x04_fpv,
27.4R,R2,R_0402_1005Metric,
100nF,C4,C_0402_1005Metric,
5.6k,R11,R_0402_1005Metric,
100nF,C11,C_0402_1005Metric,
100nF,C8,C_0402_1005Metric,
Conn_01x03,J6,Conn_01x03_2big_1small,
30pF,C1,C_0402_1005Metric,
LED,D1,LED_0603_no_outline,
Conn_01x04,J5,Conn_01x04_fpv,
100nF,C17,C_0402_1005Metric,
LED,D2,LED_0603_no_outline,
330R,R7,R_0402_1005Metric,
100nF,C10,C_0402_1005Metric,
Conn_01x04,J12,Conn_01x04_fpv,
100nF,C3,C_0402_1005Metric,
100nF,C19,C_0402_1005Metric,
AMS1117-5.0,U4,SOT-223-3_TabPin2,
10uF,C22,C_0805_2012Metric,
D_Schottky,D4,D_SOD-123,
10uF,C20,C_0805_2012Metric,
10uF,C21,C_0805_2012Metric,
AMS1117-3.3,U5,SOT-223-3_TabPin2,
10uF,C23,C_0805_2012Metric,
10k,R14,R_0402_1005Metric,
Q_PMOS_GSD,Q1,SOT-23,
Conn_01x04,J3,Conn_01x04_fpv,
TestPoint,TP4,TP_0.7mm,
TestPoint,TP3,TP_0.7mm,
TestPoint,TP2,TP_0.7mm,
TestPoint,TP1,TP_0.7mm,
20k,R16,R_0402_1005Metric,
10k,R15,R_0402_1005Metric,
